run_dir,run_name,organism,replica_count,n_samples,fragment_bin,arm,metric,metric_label,n_in_bin,n_usable,mean,lift_over_shuffled,shuffled_mean
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,shuffled,longest_correct_run,Longest Correct Run,3,3,0.3611111111111111,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,shuffled,longest_correct_run,Longest Correct Run,20,20,0.2343849206349206,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,shuffled,longest_correct_run,Longest Correct Run,39,39,0.12048207552196598,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,shuffled,longest_correct_run,Longest Correct Run,28,28,0.06703975728223076,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,shuffled,longest_correct_run,Longest Correct Run,9,9,0.030317602445833362,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,deterministic,longest_correct_run,Longest Correct Run,3,3,1.0,0.638888888888889,0.3611111111111111
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,deterministic,longest_correct_run,Longest Correct Run,20,20,0.8771825396825397,0.642797619047619,0.2343849206349206
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,deterministic,longest_correct_run,Longest Correct Run,39,39,0.6133589595157826,0.49287688399381663,0.12048207552196598
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,deterministic,longest_correct_run,Longest Correct Run,28,28,0.5302660660763381,0.4632263087941073,0.06703975728223076
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,deterministic,longest_correct_run,Longest Correct Run,9,9,0.2798821571364037,0.24956455469057032,0.030317602445833362
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,control,longest_correct_run,Longest Correct Run,3,3,1.0,0.638888888888889,0.3611111111111111
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,control,longest_correct_run,Longest Correct Run,20,20,0.8930555555555555,0.6586706349206349,0.2343849206349206
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,control,longest_correct_run,Longest Correct Run,39,39,0.7253134567971434,0.6048313812751774,0.12048207552196598
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,control,longest_correct_run,Longest Correct Run,28,28,0.5446092081368088,0.4775694508545781,0.06703975728223076
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,control,longest_correct_run,Longest Correct Run,9,9,0.3106038485666988,0.28028624612086545,0.030317602445833362
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,agentic,longest_correct_run,Longest Correct Run,3,3,1.0,0.638888888888889,0.3611111111111111
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,agentic,longest_correct_run,Longest Correct Run,20,20,0.8930555555555555,0.6586706349206349,0.2343849206349206
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,agentic,longest_correct_run,Longest Correct Run,39,39,0.7508809692067611,0.6303988936847951,0.12048207552196598
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,agentic,longest_correct_run,Longest Correct Run,28,28,0.6215707617947911,0.5545310045125603,0.06703975728223076
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,agentic,longest_correct_run,Longest Correct Run,9,9,0.34896754736897667,0.3186499449231433,0.030317602445833362
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,oracle,longest_correct_run,Longest Correct Run,3,3,1.0,0.638888888888889,0.3611111111111111
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,oracle,longest_correct_run,Longest Correct Run,20,20,0.961111111111111,0.7267261904761905,0.2343849206349206
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,oracle,longest_correct_run,Longest Correct Run,39,39,0.8902934292163871,0.7698113536944211,0.12048207552196598
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,oracle,longest_correct_run,Longest Correct Run,28,28,0.7358732540821971,0.6688334967999664,0.06703975728223076
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,oracle,longest_correct_run,Longest Correct Run,9,9,0.3781253601469125,0.34780775770107913,0.030317602445833362
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,shuffled,kendall_tau,Kendall Tau,3,3,-0.3333333333333333,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,shuffled,kendall_tau,Kendall Tau,20,20,-0.030000000000000006,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,shuffled,kendall_tau,Kendall Tau,39,39,0.02080141110862711,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,shuffled,kendall_tau,Kendall Tau,28,28,0.006078999671535469,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,shuffled,kendall_tau,Kendall Tau,9,9,-0.0028041519194263323,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,deterministic,kendall_tau,Kendall Tau,3,3,1.0,1.3333333333333333,-0.3333333333333333
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,deterministic,kendall_tau,Kendall Tau,20,20,0.9051587301587303,0.9351587301587301,-0.030000000000000006
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,deterministic,kendall_tau,Kendall Tau,39,39,0.6354399351541529,0.6146385240455258,0.02080141110862711
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,deterministic,kendall_tau,Kendall Tau,28,28,0.5053626371077454,0.4992836374362099,0.006078999671535469
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,deterministic,kendall_tau,Kendall Tau,9,9,0.3458026810257327,0.34860683294515904,-0.0028041519194263323
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,control,kendall_tau,Kendall Tau,3,3,1.0,1.3333333333333333,-0.3333333333333333
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,control,kendall_tau,Kendall Tau,20,20,0.926984126984127,0.9569841269841269,-0.030000000000000006
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,control,kendall_tau,Kendall Tau,39,39,0.798856743796015,0.7780553326873879,0.02080141110862711
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,control,kendall_tau,Kendall Tau,28,28,0.5202154532210457,0.5141364535495102,0.006078999671535469
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,control,kendall_tau,Kendall Tau,9,9,0.3599580391228432,0.3627621910422696,-0.0028041519194263323
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,agentic,kendall_tau,Kendall Tau,3,3,1.0,1.3333333333333333,-0.3333333333333333
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,agentic,kendall_tau,Kendall Tau,20,20,0.9297619047619048,0.9597619047619048,-0.030000000000000006
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,agentic,kendall_tau,Kendall Tau,39,39,0.8470963082060964,0.8262948970974691,0.02080141110862711
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,agentic,kendall_tau,Kendall Tau,28,28,0.59761392507882,0.5915349254072846,0.006078999671535469
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,agentic,kendall_tau,Kendall Tau,9,9,0.43982127065899373,0.4426254225784201,-0.0028041519194263323
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,oracle,kendall_tau,Kendall Tau,3,3,1.0,1.3333333333333333,-0.3333333333333333
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,oracle,kendall_tau,Kendall Tau,20,20,0.9888888888888889,1.0188888888888887,-0.030000000000000006
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,oracle,kendall_tau,Kendall Tau,39,39,0.9560864567413745,0.9352850456327474,0.02080141110862711
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,oracle,kendall_tau,Kendall Tau,28,28,0.8451282082941552,0.8390492086226198,0.006078999671535469
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,oracle,kendall_tau,Kendall Tau,9,9,0.46139531737189504,0.4641994692913214,-0.0028041519194263323
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,100,2-4,shuffled,exact_match,Exact Match,6,6,0.5,,
